Date,Open,High,Low,Close*
"Oct 12, 2022","17,025.55","17,142.35","16,960.05","17,123.60"
"Oct 11, 2022","17,256.05","17,261.80","16,950.30","16,983.55"
"Oct 10, 2022","17,094.35","17,280.15","17,064.70","17,241.00"
"Oct 07, 2022","17,287.20","17,337.35","17,216.95","17,314.65"
"Oct 06, 2022","17,379.25","17,428.80","17,315.65","17,331.80"
"Oct 04, 2022","17,147.45","17,287.30","17,117.30","17,274.30"
"Oct 03, 2022","17,102.10","17,114.65","16,855.55","16,887.35"
"Sep 30, 2022","16,798.05","17,187.10","16,747.70","17,094.35"
"Sep 29, 2022","16,993.60","17,026.05","16,788.60","16,818.10"
"Sep 28, 2022","16,870.55","17,037.60","16,820.40","16,858.60"
"Sep 27, 2022","17,110.90","17,176.45","16,942.35","17,007.40"
"Sep 26, 2022","17,156.30","17,196.40","16,978.30","17,016.30"
"Sep 23, 2022","17,593.85","17,642.15","17,291.65","17,327.35"
"Sep 22, 2022","17,609.65","17,722.75","17,532.45","17,629.80"
"Sep 21, 2022","17,766.35","17,838.70","17,663.60","17,718.35"
"Sep 20, 2022","17,770.40","17,919.30","17,744.40","17,816.25"
"Sep 19, 2022","17,540.65","17,667.20","17,429.70","17,622.25"
"Sep 16, 2022","17,796.80","17,820.05","17,497.25","17,530.85"
"Sep 15, 2022","18,046.35","18,096.15","17,861.50","17,877.40"
"Sep 14, 2022","17,771.15","18,091.55","17,771.15","18,003.75"
"Sep 13, 2022","18,044.45","18,088.30","18,015.45","18,070.05"
"Sep 12, 2022","17,890.85","17,980.55","17,889.15","17,936.35"
"Sep 09, 2022","17,923.35","17,925.95","17,786.00","17,833.35"
"Sep 08, 2022","17,748.15","17,807.65","17,691.95","17,798.75"
"Sep 07, 2022","17,519.40","17,650.75","17,484.30","17,624.40"
"Sep 06, 2022","17,695.70","17,764.65","17,587.65","17,655.60"
"Sep 05, 2022","17,546.45","17,683.15","17,540.35","17,665.80"
"Sep 02, 2022","17,598.40","17,643.85","17,476.45","17,539.45"
"Sep 01, 2022","17,485.70","17,695.60","17,468.45","17,542.80"
"Aug 30, 2022","17,414.95","17,777.65","17,401.50","17,759.30"
"Aug 29, 2022","17,188.65","17,380.15","17,166.20","17,312.90"
"Aug 26, 2022","17,619.30","17,685.85","17,519.35","17,558.90"
